companyId;companyName;ticker;price;p_L;p_VP;p_Ebit;p_Ativo;eV_Ebit;margemBruta;margemEbit;margemLiquida;p_SR;p_CapitalGiro;p_AtivoCirculante;giroAtivos;roe;roa;roic;dividaliquidaPatrimonioLiquido;dividaLiquidaEbit;pl_Ativo;passivo_Ativo;liquidezCorrente;peg_Ratio;vpa;lpa;valorMercado;dy;liquidezMediaDiaria;receitas_Cagr5;lucros_Cagr5
385;FERTILIZANTES HERINGER;FHER3;17,45;2,681;2,1323;2,1613;0,308;2,5995;11,31;7,54;6,08;0,1629;1,1187;-1,2681;1,89;79,53;11,49;52,74;0,43;0,44;0,14;0,86;1,57;0,11359147;8,2072;6,5274;938732460,12;;3531127,88;-3,75;52,1
460;CEEE-D;CEED3;38,0;10,1503;-0,9357;7,1528;0,4168;12,8126;18,16;7,89;5,56;0,5644;1087,9561;-0,6226;0,74;-9,22;4,11;-284,64;;5,66;-0,45;1,45;1,0;-0,07957896;-40,6127;3,7437;2593195298,0;;10057,1;12,08;
460;CEEE-D;CEED4;35,0;9,3489;-0,8618;6,5881;0,3839;12,8126;18,16;7,89;5,56;0,5198;1002,0648;-0,5735;0,74;-9,22;4,11;-284,64;;5,66;-0,45;1,45;1,0;-0,07329641;-40,6127;3,7437;2593195298,0;;3500,0;12,08;
202;AZUL;AZUL4;10,96;-6,241;-0,6885;14,3282;0,7566;27,461;19,26;6,35;-14,59;0,9104;-1,4247;-1,0508;0,83;-11,03;-12,12;25,84;;23,54;-1,1;2,1;0,35;0,13469104;-15,9187;-1,7561;3775844580,19;;164781100,3;8,38;
224;LOJAS RENNER;LREN3;20,54;16,5789;2,0754;15,6497;0,9762;14,873;59,71;9,89;9,33;1,5473;3,4601;-2,6579;0,63;12,52;5,89;9,38;-0,1;-0,77;0,47;0,53;1,8;0,14318381;9,8775;1,2365;20558047834,82;3,254;408052072,63;10,38;14,42
187;PRATICA KLIMAQUIP;PTCA3;0,0;0,0;0,0;0,0;0,0;2,1663;42,9;9,98;6,74;0,0;0,0;0,0;1,09;20,84;7,31;12,92;0,67;2,17;0,35;0,65;1,75;0,0;20,2592;4,2226;0,0;;;25,03;31,25
187;PRATICA KLIMAQUIP;PTCA11;0,0;0,0;0,0;0,0;0,0;2,1663;42,9;9,98;6,74;0,0;0,0;0,0;1,09;20,84;7,31;12,92;0,67;2,17;0,35;0,65;1,75;0,0;20,2592;4,2226;0,0;;;25,03;31,25
393;MANGELS INDUSTRIAL;MGEL3;19,13;1,3402;-0,585;0,8739;0,1693;5,9282;15,17;12,48;8,14;0,109;0,4328;-0,4777;1,55;-43,65;12,63;21,13;;5,26;-0,29;1,29;2,54;-0,02205751;-32,7024;14,2739;84881180,39;;;15,08;118,86
393;MANGELS INDUSTRIAL;MGEL4;12,22;0,8561;-0,3737;0,5582;0,1081;5,9282;15,17;12,48;8,14;0,0696;0,2765;-0,3051;1,55;-43,65;12,63;21,13;;5,26;-0,29;1,29;2,54;-0,01409006;-32,7024;14,2739;84881180,39;;33000,31;15,08;118,86
186;NORDON INDUSTRIAS METALURGICAS;NORD3;3,7;-3,0491;-0,1645;-66,9385;1,4083;-170,5997;90,06;-22,47;-493,25;15,0396;-0,5294;-1,5128;0,09;-5,4;-46,19;0,33;;-103,66;-8,56;9,56;0,03;-0,00430451;-22,4907;-1,2135;24499498,2;;1873,67;;
